# rmax =        23.875500 pimax = 40.00
#######################################
#  Iteration     Nthreads     Time     
#######################################
         1         20       0.9539
         2         20        1.114
         3         20       0.5267
         4         20       0.5274
         5         20       0.5147
         1         19       0.6309
         2         19       0.5249
         3         19       0.5185
         4         19        1.177
         5         19       0.5442
         1         18       0.6967
         2         18       0.6647
         3         18       0.6256
         4         18       0.6980
         5         18       0.6748
         1         17       0.5924
         2         17       0.5805
         3         17       0.5293
         4         17       0.5387
         5         17       0.5381
         1         16       0.5549
         2         16       0.5489
         3         16       0.5419
         4         16       0.5466
         5         16       0.5468
         1         15       0.5869
         2         15       0.5696
         3         15       0.5753
         4         15       0.7739
         5         15       0.7614
         1         14       0.6096
         2         14       0.6071
         3         14        1.144
         4         14       0.7963
         5         14       0.7669
         1         13       0.6399
         2         13       0.6512
         3         13       0.6593
         4         13        1.095
         5         13       0.6477
         1         12       0.7221
         2         12       0.9219
         3         12       0.8074
         4         12        1.360
         5         12       0.7409
         1         11       0.7307
         2         11       0.7795
         3         11       0.7530
         4         11       0.7902
         5         11        1.063
         1         10       0.8078
         2         10       0.7964
         3         10       0.7982
         4         10       0.8079
         5         10       0.8124
         1          9       0.8976
         2          9       0.8847
         3          9       0.8794
         4          9       0.8898
         5          9        1.106
         1          8       0.9619
         2          8       0.9617
         3          8       0.9743
         4          8        1.242
         5          8       0.9821
         1          7        1.120
         2          7        1.087
         3          7        1.092
         4          7        1.097
         5          7        1.111
         1          6        1.415
         2          6        1.247
         3          6        1.249
         4          6        1.279
         5          6        1.247
         1          5        1.475
         2          5        1.500
         3          5        1.513
         4          5        2.068
         5          5        1.512
         1          4        1.861
         2          4        1.859
         3          4        1.815
         4          4        1.968
         5          4        1.901
         1          3        2.421
         2          3        2.459
         3          3        2.396
         4          3        2.381
         5          3        2.400
         1          2        3.838
         2          2        3.515
         3          2        3.926
         4          2        4.020
         5          2        3.769
         1          1        6.976
         2          1        7.385
         3          1        7.072
         4          1        6.982
         5          1        6.978
