# rmax =        23.875500
#######################################
#  Iteration     Nthreads     Time     
#######################################
         1         20        1.061
         2         20       0.5141
         3         20       0.5239
         4         20       0.5174
         5         20       0.5169
         1         19       0.5280
         2         19       0.5869
         3         19       0.5175
         4         19       0.5186
         5         19       0.5207
         1         18       0.5301
         2         18       0.7056
         3         18       0.7862
         4         18       0.7963
         5         18       0.6666
         1         17       0.5477
         2         17       0.7090
         3         17       0.6599
         4         17       0.6489
         5         17       0.7107
         1         16       0.6662
         2         16       0.6611
         3         16       0.6978
         4         16       0.6997
         5         16       0.9257
         1         15       0.7644
         2         15       0.5714
         3         15       0.5634
         4         15       0.5642
         5         15       0.5698
         1         14       0.6093
         2         14       0.7907
         3         14       0.6552
         4         14       0.6091
         5         14       0.7056
         1         13       0.6381
         2         13       0.6420
         3         13       0.8156
         4         13       0.7777
         5         13       0.6329
         1         12       0.6716
         2         12       0.6673
         3         12       0.8252
         4         12       0.6827
         5         12       0.6776
         1         11       0.7281
         2         11       0.9146
         3         11       0.8685
         4         11       0.7170
         5         11       0.7176
         1         10       0.7887
         2         10        1.031
         3         10       0.7868
         4         10       0.7892
         5         10       0.8159
         1          9       0.9233
         2          9       0.8501
         3          9       0.9092
         4          9       0.8606
         5          9        1.091
         1          8       0.9425
         2          8        1.194
         3          8       0.9437
         4          8       0.9387
         5          8       0.9390
         1          7        1.314
         2          7        1.075
         3          7        1.055
         4          7        1.375
         5          7        1.069
         1          6        1.242
         2          6        1.210
         3          6        1.230
         4          6        1.229
         5          6        1.215
         1          5        1.434
         2          5        1.674
         3          5        1.436
         4          5        1.434
         5          5        1.785
         1          4        1.752
         2          4        1.744
         3          4        1.732
         4          4        1.953
         5          4        1.986
         1          3        2.605
         2          3        2.309
         3          3        2.307
         4          3        2.413
         5          3        2.356
         1          2        3.586
         2          2        3.381
         3          2        3.844
         4          2        3.482
         5          2        3.428
         1          1        6.533
         2          1        6.533
         3          1        6.531
         4          1        6.540
         5          1        6.544
