# rmax =        23.875500 pimax = 40.00
#######################################
#  Iteration     Nthreads     Time     
#######################################
         1         20        2.097
         2         20        1.749
         3         20        2.013
         4         20        2.160
         5         20        2.263
         1         19        2.066
         2         19        2.250
         3         19        1.502
         4         19        2.871
         5         19        1.885
         1         18        2.452
         2         18        2.353
         3         18        1.510
         4         18        2.226
         5         18        1.710
         1         17        1.663
         2         17        2.110
         3         17        1.770
         4         17        2.105
         5         17        1.542
         1         16        2.400
         2         16        1.569
         3         16        1.991
         4         16        2.199
         5         16        1.574
         1         15        1.686
         2         15        2.047
         3         15        1.707
         4         15        2.467
         5         15        1.669
         1         14        2.514
         2         14        2.640
         3         14        1.777
         4         14        2.584
         5         14        2.374
         1         13        1.896
         2         13        2.234
         3         13        2.618
         4         13        2.627
         5         13        2.721
         1         12        2.226
         2         12        2.877
         3         12        2.186
         4         12        2.200
         5         12        2.156
         1         11        2.186
         2         11        2.867
         3         11        2.165
         4         11        2.627
         5         11        2.417
         1         10        2.621
         2         10        2.838
         3         10        2.371
         4         10        3.132
         5         10        3.212
         1          9        3.261
         2          9        3.050
         3          9        2.612
         4          9        3.405
         5          9        3.224
         1          8        2.940
         2          8        3.179
         3          8        3.042
         4          8        2.877
         5          8        2.911
         1          7        3.895
         2          7        3.536
         3          7        3.568
         4          7        3.912
         5          7        3.407
         1          6        4.120
         2          6        3.892
         3          6        3.805
         4          6        4.591
         5          6        4.221
         1          5        4.508
         2          5        4.665
         3          5        4.911
         4          5        4.595
         5          5        4.842
         1          4        5.834
         2          4        5.520
         3          4        5.510
         4          4        5.552
         5          4        5.599
         1          3        7.577
         2          3        8.164
         3          3        7.399
         4          3        7.548
         5          3        7.760
         1          2        11.06
         2          2        10.98
         3          2        11.19
         4          2        11.07
         5          2        10.99
         1          1        21.58
         2          1        21.59
         3          1        21.90
         4          1        21.63
         5          1        21.59
